,author,published,uploaded,likes,text
0,Natali Almeida,2023-08-29T16:25:46Z,2023-08-29T16:25:46Z,0,"Bem esclarecido, eu acreditava que era obrigatório postar  só um comprovante de cada atividade. Menos mal,pois tenho muitos cursos que eu fiz e vou usar! Obrigada!"
1,Igor Gabriel ,2023-08-28T22:17:57Z,2023-08-28T22:17:57Z,0,Para mim não aparece essa opção das Atividades Complementares quando abro o site
2,wemerson rodrigues,2023-08-08T10:35:25Z,2023-08-08T10:35:25Z,0,"Se eu postar 3 cursos de 30, 50 e 60 horas totalizando 140 horas já vale para completar a carga horária ou vai contar apenas 10 horas de cada uma?"
3,Beto,2023-07-27T17:01:00Z,2023-07-27T17:01:00Z,1,"Cara, seu canal é ótimo! Estou prestes a cursar segurança da informação na unip, e estava a procura de mais informações sobre o ambiente virtual. Encontrei tudo aqui."
4,Juorrana Souza,2023-05-18T04:29:39Z,2023-05-18T04:32:26Z,1,"por que o seu portal acadêmico da unip é diferente do meu? o seu parece muito mais completo e organizado e é um visual diferente. To procurando vídeos no youtube, há um tempo, sobre como postar as minhas atividades complementares, mas os vídeos aparentam o mesmo portal que seu. acho que no meu não tem a opção de postar as horas, estou frustrada... estou no 1° semestre e queria me livrar logo dessas atividades..."
5,Elen Cardoso da Silva,2023-05-08T16:14:47Z,2023-05-08T16:14:47Z,0,"Ou seja, não preciso necessariamente, entregar no mesmo semestre, atividades complementares"
6,Matheus Tagliaferro,2023-05-07T18:38:59Z,2023-05-07T18:38:59Z,0,"Muito bem explicado, parabéns!"
7,Larissa Duarte,2023-05-05T10:30:53Z,2023-05-05T10:30:53Z,0,Bom dia postei atividade e fica so aguardando liberação do polo. O quê devo fazer?
8,Andreza Costa,2023-04-04T18:05:44Z,2023-04-04T18:05:44Z,0,Gostaria de saber quando for filme ?
9,Julio Cezar Nascimento,2023-03-21T21:39:34Z,2023-03-21T21:39:34Z,0,"Parabéns pelo o conteúdo, em poucos minutos abriu minha mente 👏😃👏"
